Index,CardNo,Sex,Major,AccessCardNo
153,180153,女,18会计,19210618
154,180154,女,18会计,709322
155,180155,女,18会计,19512794
156,180156,女,18会计,19253850
157,180157,女,18会计,20623402
158,180158,女,18会计,17445674
159,180159,女,18会计,19664954
160,180160,女,18会计,20931930
161,180161,女,18会计,20211754
162,180162,女,18会计,18962698
163,180163,女,18会计,21448330
164,180164,女,18会计,24224954
165,180165,女,18会计,21108762
166,180166,女,18会计,21365178
167,180167,女,18会计,21108538
168,180168,女,18会计,19700090
169,180169,女,18会计,19431258
170,180170,女,18会计,19838106
171,180171,女,18会计,20304458
172,180172,女,18会计,22024330
173,180173,女,18会计,19351674
174,180174,女,18会计,20009066
175,180175,女,18会计,20518202
176,180176,女,18会计,18519546
177,180177,女,18会计,19805098
178,180178,女,18会计,19662218
179,180179,女,18会计,21118282
180,180180,女,18会计,20617674
181,180181,女,18会计,19262538
182,180182,女,18会计,21232090
183,180183,女,18会计,18618058
184,180184,女,18会计,21230602
185,180185,女,18会计,21725258
186,180186,女,18会计,19350634
187,180187,女,18会计,20602538
188,180188,女,18会计,23220362
189,180189,女,18会计,21936714
190,180190,女,18会计,1240858
191,180191,女,18会计,21250602
192,180192,女,18会计,20307770
193,180193,女,18会计,22029498
194,180194,女,18会计,21309658
195,180195,女,18会计,21447418
196,180196,女,18会计,21805434
197,180197,女,18会计,20660522
198,180198,女,18会计,20022874
199,180199,女,18会计,20026282
200,180200,女,18会计,18418874
201,180201,女,18会计,19611930
202,180202,女,18会计,21958698
203,180203,女,18会计,20012410
204,180204,女,18会计,22000458
205,180205,女,18会计,21005562
206,180206,女,18会计,19049546
207,180207,女,18会计,19046250
208,180208,女,18会计,21600538
209,180209,男,18金融管理,21006778
210,180210,男,18金融管理,20158906
211,180211,男,18金融管理,18962842
212,180212,男,18金融管理,19705626
213,180213,男,18金融管理,20757482
214,180214,男,18金融管理,21353658
215,180215,男,18金融管理,21017306
216,180216,男,18金融管理,18809082
217,180217,男,18金融管理,18410874
218,180218,男,18金融管理,20209578
219,180219,男,18金融管理,14963738
220,180220,男,18金融管理,23942138
221,180221,男,18金融管理,19843050
222,180222,男,18金融管理,20526186
223,180223,男,18金融管理,20661082
224,180224,男,18金融管理,18427914
225,180225,男,18金融管理,20348746
226,180226,男,18金融管理,21328138
227,180227,男,18金融管理,20845322
228,180228,男,18金融管理,21635098
229,180229,男,18金融管理,20215562
230,180230,男,18金融管理,20621194
231,180231,男,18金融管理,19351274
232,180232,男,18金融管理,20665386
233,180233,男,18金融管理,21636890
234,180234,男,18金融管理,18713834
235,180235,男,18金融管理,20434810
236,180236,男,18金融管理,19005914
237,180237,男,18金融管理,21446122
238,180238,男,18金融管理,21753770
239,180239,男,18金融管理,21930810
240,180240,女,18金融管理,21411130
241,180241,女,18金融管理,21333786
242,180242,女,18金融管理,21652154
243,180243,女,18金融管理,19137066
244,180244,女,18金融管理,18842938
245,180245,女,18金融管理,20807306
246,180246,女,18金融管理,20258490
247,180247,女,18金融管理,21926986
248,180248,女,18金融管理,20616490
249,180249,女,18金融管理,22913290
250,180250,女,18金融管理,20658522
251,180251,女,18金融管理,21931370
252,180252,女,18金融管理,18728298
253,180253,女,18金融管理,17563770
254,180254,女,18金融管理,17618938
255,180255,女,18金融管理,20606394
256,180256,女,18金融管理,15555146
257,180257,女,18金融管理,21238250
258,180258,女,18金融管理,21454938
259,180259,女,18金融管理,19128426
260,180260,女,18金融管理,19344250
261,180261,女,18金融管理,18760970
262,180262,女,18金融管理,20622666
263,180263,女,18金融管理,18460202
264,180264,女,18金融管理,20309130
265,180265,女,18金融管理,21962234
266,180266,女,18金融管理,21519146
267,180267,女,18金融管理,21108234
268,180268,女,18金融管理,20757226
269,180269,女,18金融管理,120986
270,180270,女,18金融管理,21911898
271,180271,女,18金融管理,19354250
272,180272,女,18金融管理,19623850
273,180273,女,18金融管理,18961642
274,180274,女,18金融管理,21650938
275,180275,女,18金融管理,19207626
276,180276,女,18金融管理,19750314
277,180277,女,18金融管理,18244298
278,180278,女,18金融管理,20706106
279,180279,女,18金融管理,24758394
280,180280,女,18金融管理,21834410
281,180281,女,18金融管理,20847642
282,180282,女,18金融管理,20842554
283,180283,女,18金融管理,18764810
284,180284,女,18金融管理,19344362
285,180285,女,18金融管理,18637706
286,180286,女,18金融管理,18657594
287,180287,女,18金融管理,21907066
288,180288,女,18金融管理,22040682
289,180289,女,18金融管理,21863434
290,180290,女,18金融管理,21201258
291,180291,女,18金融管理,21641034
292,180292,女,18金融管理,21365322
293,180293,女,18金融管理,21005514
294,180294,女,18金融管理,20610490
295,180295,女,18金融管理,19203098
296,180296,女,18金融管理,20526218
297,180297,女,18金融管理,20928906
298,180298,女,18金融管理,21027578
299,180299,女,18金融管理,21019722
300,180300,女,18金融管理,21156154
301,180301,女,18金融管理,20510554
302,180302,女,18金融管理,19526218
303,180303,女,18金融管理,21743018
304,180304,女,18金融管理,21400842
305,180305,女,18金融管理,18427354
306,180306,女,18金融管理,20526714
307,180307,女,18金融管理,19751498
308,180308,女,18金融管理,18612682
309,180309,女,18金融管理,21811450
310,180310,女,18金融管理,19942362
311,180311,女,18金融管理,21018586
312,180312,女,18金融管理,18926090
313,180313,女,18金融管理,21747610
314,180314,女,18金融管理,21365098
315,180315,女,18金融管理,19220058
316,180316,女,18金融管理,19921130
317,180317,女,18金融管理,19433306
318,180318,女,18金融管理,23762282
319,180319,女,18金融管理,21440074
320,180320,女,18金融管理,21456458
321,180321,女,18金融管理,18539386
322,180322,女,18金融管理,14803994
323,180323,女,18金融管理,19432954
324,180324,女,18金融管理,19615690
325,180325,女,18金融管理,21949226
326,180326,女,18金融管理,20924938
327,180327,女,18金融管理,17624282
328,180328,女,18金融管理,19518906
329,180329,女,18金融管理,21401098
330,180330,女,18金融管理,19616330
331,180331,女,18金融管理,19002762
332,180332,女,18金融管理,21060026
333,180333,女,18金融管理,23644442
334,180334,女,18金融管理,700730
335,180335,女,18金融管理,20008506
336,180336,女,18金融管理,20435898
337,180337,女,18金融管理,18422298
338,180338,女,18金融管理,21403450
339,180339,女,18金融管理,20806234
340,180340,男,18审计,19129418
341,180341,男,18审计,19128666
342,180342,男,18审计,19347930
343,180343,男,18审计,19117898
344,180344,男,18审计,20937658
345,180345,男,18审计,21834250
346,180346,男,18审计,18445338
347,180347,女,18审计,19931290
348,180348,女,18审计,20034490
349,180349,女,18审计,21359770
350,180350,女,18审计,21528426
351,180351,女,18审计,19263770
352,180352,女,18审计,19662074
353,180353,女,18审计,17405514
354,180354,女,18审计,19217818
355,180355,女,18审计,19226954
356,180356,女,18审计,18842346
357,180357,女,18审计,21937594
358,180358,女,18审计,20164106
359,180359,女,18审计,20835370
360,180360,女,18审计,21145370
361,180361,女,18审计,20701562
362,180362,女,18审计,19840282
363,180363,女,18审计,21110938
364,180364,女,18审计,19700202
365,180365,女,18审计,21449802
366,180366,女,18审计,21115962
367,180367,女,18审计,18523082
368,180368,女,18审计,18708954
369,180369,女,18审计,18843914
370,180370,女,18审计,21937402
371,180371,女,18审计,19829146
372,180372,女,18审计,19060250
373,180373,女,18审计,20356282
374,180374,女,18审计,20347210
375,180375,女,18审计,21108090
376,180376,女,18审计,20435866
377,180377,女,18审计,17106730
378,180378,女,18审计,19043898
379,180379,女,18审计,21235914
380,180380,女,18审计,20346474
381,180381,女,18审计,19945418
382,180382,女,18审计,18724762
383,180383,女,18审计,20801514
384,180384,女,18审计,20850298
385,180385,女,18审计,19655082
386,180386,女,18审计,20360266
387,180387,女,18审计,19622362
388,180388,女,18审计,18547258
389,180389,女,18审计,030778
390,180390,女,18审计,24357242
391,180391,女,18审计,20207098
392,180392,女,18审计,24434570
393,180393,女,18审计,20753674
394,180394,女,18审计,17037226
395,180395,女,18审计,20101626
396,180396,女,18审计,21026634
397,180397,女,18审计,20614138
398,180398,女,18审计,19919178
399,180399,女,18审计,21742826
400,180400,女,18审计,18930778
401,180401,女,18审计,20353258
402,180402,女,18审计,17447226
403,180403,女,18审计,20345162
404,180404,女,18审计,22037722
405,180405,女,18审计,19944058
406,180406,女,18审计,20116202
407,180407,女,18审计,18716042
408,180408,女,18审计,19845162
409,180409,女,18审计,20926442
410,180410,女,18审计,21712650
411,180411,女,18审计,19856442
412,180412,女,18审计,18549642
413,180413,女,18审计,20922186
414,180414,女,18审计,20425674
415,180415,女,18审计,20158602
416,180416,女,18审计,21651754
417,180417,女,18审计,19433674
418,180418,女,18审计,20802074
419,180419,女,18审计,18458698
420,180420,女,18审计,21911786
421,180421,女,18审计,21402586
422,180422,女,18审计,21444074
423,180423,女,18审计,18723546
424,180424,女,18审计,19443146
425,180425,女,18审计,18625482
426,180426,男,18投资与理财,18401306
427,180427,男,18投资与理财,21536874
428,180428,男,18投资与理财,18725610
429,180429,男,18投资与理财,20859594
430,180430,男,18投资与理财,20358874
431,180431,男,18投资与理财,20205754
432,180432,男,18投资与理财,22600538
433,180433,男,18投资与理财,21143514
434,180434,男,18投资与理财,19129466
435,180435,男,18投资与理财,22035034
436,180436,男,18投资与理财,19432442
437,180437,男,18投资与理财,20450074
438,180438,男,18投资与理财,19932266
439,180439,男,18投资与理财,19804522
440,180440,男,18投资与理财,21228746
441,180441,男,18投资与理财,20261802
442,180442,男,18投资与理财,21533594
443,180443,男,18投资与理财,19350890
444,180444,女,18投资与理财,21650618
445,180445,女,18投资与理财,21021050
446,180446,女,18投资与理财,19939626
447,180447,女,18投资与理财,19757354
448,180448,女,18投资与理财,20925882
449,180449,女,18投资与理财,20659162
450,180450,女,18投资与理财,18801706
451,180451,女,18投资与理财,24212522
452,180452,女,18投资与理财,18614986
453,180453,女,18投资与理财,20345994
454,180454,女,18投资与理财,20443498
455,180455,女,18投资与理财,19831834
456,180456,女,18投资与理财,20434474
457,180457,女,18投资与理财,21754202
458,180458,女,18投资与理财,19048298
459,180459,女,18投资与理财,21235402
460,180460,女,18投资与理财,21926922
461,180461,女,18投资与理财,20516442
462,180462,女,18投资与理财,19654570
463,180463,女,18投资与理财,20936298
464,180464,女,18投资与理财,18724730
465,180465,女,18投资与理财,19749210
466,180466,女,18投资与理财,20101098
467,180467,女,18投资与理财,21321642
468,180468,女,18投资与理财,21447114
469,180469,女,18投资与理财,21201802
470,180470,女,18投资与理财,18715530
471,180471,女,18投资与理财,18713946
472,180472,女,18投资与理财,21907514
473,180473,女,18投资与理财,20160442
474,180474,女,18投资与理财,19141914
475,180475,女,18投资与理财,20716522
476,180476,女,18投资与理财,21645434
477,180477,女,18投资与理财,18908730
478,180478,女,18投资与理财,18846858
479,180479,女,18投资与理财,20218314
480,180480,女,18投资与理财,20747418
481,180481,女,18投资与理财,19622650
482,180482,女,18投资与理财,18606890
483,180483,女,18投资与理财,21602922
484,180484,女,18投资与理财,21451706
485,180485,女,18投资与理财,18713338
486,180486,女,18投资与理财,25233162
487,180487,女,18投资与理财,14619786
488,180488,女,18投资与理财,20030714
489,180489,女,18投资与理财,20927130
490,180490,女,18投资与理财,20757866
491,180491,女,18投资与理财,21251514
492,180492,女,18投资与理财,20701162
493,180493,女,18投资与理财,19528826
494,180494,女,18投资与理财,23151994
495,180495,女,18投资与理财,18447898
496,180496,女,18投资与理财,20524890
497,180497,女,18投资与理财,18324122
498,180498,女,18投资与理财,22004490
499,180499,女,18投资与理财,18800666
500,180500,女,18投资与理财,19045514
501,180501,女,18投资与理财,19125578
502,180502,女,18投资与理财,19936922
503,180503,女,18投资与理财,18605098
504,180504,女,18投资与理财,21104538
505,180505,女,18投资与理财,16739162
506,180506,女,18投资与理财,22026282
507,180507,女,18投资与理财,19856842
508,180508,女,18投资与理财,19838458
509,180509,女,18投资与理财,20201146
510,180510,女,18投资与理财,18512074
511,180511,女,18投资与理财,19932346
512,180512,女,18投资与理财,19048666
513,180513,男,18电子商务,20925034
514,180514,男,18电子商务,18417898
515,180515,男,18电子商务,20161930
516,180516,男,18电子商务,21153946
517,180517,男,18电子商务,20306858
518,180518,男,18电子商务,21450730
519,180519,男,18电子商务,21156426
520,180520,男,18电子商务,18925594
521,180521,男,18电子商务,20764778
522,180522,男,18电子商务,20426170
523,180523,男,18电子商务,21401722
524,180524,男,18电子商务,20433162
525,180525,男,18电子商务,21754554
526,180526,男,18电子商务,21330730
527,180527,男,18电子商务,21018010
528,180528,男,18电子商务,19050874
529,180529,男,18电子商务,20753226
530,180530,男,18电子商务,18763930
531,180531,男,18电子商务,20932970
532,180532,男,18电子商务,20924026
533,180533,男,18电子商务,18553194
534,180534,男,18电子商务,21444170
535,180535,男,18电子商务,19430842
536,180536,男,18电子商务,20308714
537,180537,男,18电子商务,20211178
538,180538,男,18电子商务,18409562
539,180539,男,18电子商务,20438330
540,180540,男,18电子商务,20211098
541,180541,男,18电子商务,20025002
542,180542,男,18电子商务,16961594
543,180543,女,18电子商务,20622090
544,180544,女,18电子商务,18923514
545,180545,女,18电子商务,19227482
546,180546,女,18电子商务,19834938
547,180547,女,18电子商务,25059818
548,180548,女,18电子商务,21320618
549,180549,女,18电子商务,20426938
550,180550,女,18电子商务,19604458
551,180551,女,18电子商务,20615786
552,180552,女,18电子商务,21106650
553,180553,女,18电子商务,20663850
554,180554,女,18电子商务,19434986
555,180555,女,18电子商务,21234938
556,180556,女,18电子商务,20540746
557,180557,女,18电子商务,20523226
558,180558,女,18电子商务,20627946
559,180559,女,18电子商务,22007530
560,180560,女,18电子商务,20717962
561,180561,女,18电子商务,19934906
562,180562,女,18电子商务,21357514
563,180563,女,18电子商务,18421050
564,180564,女,18电子商务,19229066
565,180565,女,18电子商务,19215114
566,180566,女,18电子商务,21516346
567,180567,女,18电子商务,21006986
568,180568,女,18电子商务,21951146
569,180569,女,18电子商务,23961930
570,180570,女,18电子商务,21407978
571,180571,女,18电子商务,21947482
572,180572,女,18电子商务,19602746
573,180573,女,18电子商务,18837594
574,180574,女,18电子商务,19658330
575,180575,女,18电子商务,20434106
576,180576,女,18电子商务,21229194
577,180577,女,18电子商务,21635066
578,180578,女,18电子商务,19704266
579,180579,女,18电子商务,21655658
580,180580,女,18电子商务,21445866
581,180581,女,18电子商务,24321546
582,180582,女,18电子商务,21320570
583,180583,女,18电子商务,17429882
584,180584,女,18电子商务,17606266
585,180585,女,18电子商务,17607546
586,180586,女,18电子商务,21156042
587,180587,女,18电子商务,18714986
588,180588,女,18电子商务,18911386
589,180589,女,18电子商务,19128794
590,180590,女,18电子商务,19755786
591,180591,女,18电子商务,19846442
592,180592,女,18电子商务,21412122
593,180593,女,18电子商务,21407770
594,180594,女,18电子商务,19524842
595,180595,女,18电子商务,18733274
596,180596,女,18电子商务,20859130
597,180597,女,18电子商务,16637706
598,180598,女,18电子商务,21756842
599,180599,女,18电子商务,19853306
600,180600,女,18电子商务,19119242
601,180601,女,18电子商务,14110010
602,180602,女,18电子商务,19941946
603,180603,女,18电子商务,21365466
604,180604,女,18电子商务,13726554
605,180605,女,18电子商务,21927098
606,180606,女,18电子商务,21600842
607,180607,女,18电子商务,19839402
608,180608,女,18电子商务,19139818
609,180609,女,18电子商务,18526106
610,180610,女,18电子商务,17407498
611,180611,女,18电子商务,18547594
612,180612,女,18电子商务,20012282
613,180613,女,18电子商务,19202234
614,180614,女,18电子商务,21405306
615,180615,女,18电子商务,19043578
616,180616,女,18电子商务,20203690
617,180617,女,18电子商务,19520794
618,180618,男,18工商企管,20660026
619,180619,男,18工商企管,18409834
620,180620,男,18工商企管,20349178
621,180621,男,18工商企管,19656234
622,180622,男,18工商企管,20935386
623,180623,男,18工商企管,19842538
624,180624,男,18工商企管,18908362
625,180625,男,18工商企管,18438122
626,180626,男,18工商企管,19037962
627,180627,男,18工商企管,20534714
628,180628,男,18工商企管,20207482
629,180629,男,18工商企管,21457178
630,180630,男,18工商企管,21018570
631,180631,男,18工商企管,19703754
632,180632,男,18工商企管,18603274
633,180633,男,18工商企管,19420234
634,180634,男,18工商企管,20125834
635,180635,男,18工商企管,21144938
636,180636,男,18工商企管,19625578
637,180637,女,18工商企管,21452138
638,180638,女,18工商企管,19050058
639,180639,女,18工商企管,18764826
640,180640,女,18工商企管,21325642
641,180641,女,18工商企管,20448922
642,180642,女,18工商企管,20261882
643,180643,女,18工商企管,21332762
644,180644,女,18工商企管,19617370
645,180645,女,18工商企管,18425274
646,180646,女,18工商企管,20030698
647,180647,女,18工商企管,21836698
648,180648,女,18工商企管,21403178
649,180649,女,18工商企管,21052730
650,180650,女,18工商企管,19846858
651,180651,女,18工商企管,21118378
652,180652,女,18工商企管,16859850
653,180653,女,18工商企管,21410954
654,180654,女,18工商企管,20943658
655,180655,女,18工商企管,19352730
656,180656,女,18工商企管,20923002
657,180657,女,18工商企管,20843866
658,180658,女,18工商企管,20209594
659,180659,女,18工商企管,20716634
660,180660,女,18工商企管,19537594
661,180661,女,18工商企管,17422778
662,180662,女,18工商企管,18754634
663,180663,女,18工商企管,20254522
664,180664,女,18工商企管,18830122
665,180665,女,18工商企管,21324138
666,180666,女,18工商企管,18356650
667,180667,女,18工商企管,21151690
668,180668,女,18工商企管,20065210
669,180669,女,18工商企管,17162410
670,180670,女,18工商企管,20935898
671,180671,女,18工商企管,19857834
672,180672,女,18工商企管,20107578
673,180673,女,18工商企管,21523562
674,180674,女,18工商企管,21152554
675,180675,女,18工商企管,21843994
676,180676,女,18工商企管,20259242
677,180677,女,18工商企管,19705258
678,180678,女,18工商企管,20843082
679,180679,女,18工商企管,20664346
680,180680,女,18工商企管,20804410
681,180681,女,18工商企管,19348442
682,180682,女,18工商企管,20015914
683,180683,女,18工商企管,19561482
684,180684,女,18工商企管,21643978
685,180685,女,18工商企管,20719338
686,180686,女,18工商企管,21145274
687,180687,女,18工商企管,24357338
688,180688,女,18工商企管,13457482
689,180689,女,18工商企管,21529546
690,180690,女,18工商企管,18357178
691,180691,女,18工商企管,20111194
692,180692,女,18工商企管,21009434
693,180693,女,18工商企管,21603850
694,180694,女,18工商企管,20523738
695,180695,女,18工商企管,19963706
696,180696,女,18工商企管,19945850
697,180697,女,18工商企管,19927610
698,180698,男,18物流管理,21242330
699,180699,男,18物流管理,20700954
700,180700,男,18物流管理,21238314
701,180701,男,18物流管理,20348506
702,180702,男,18物流管理,21362170
703,180703,男,18物流管理,16848266
704,180704,男,18物流管理,19435050
705,180705,男,18物流管理,21849722
706,180706,男,18物流管理,19001690
707,180707,男,18物流管理,21608522
708,180708,男,18物流管理,20246058
709,180709,男,18物流管理,19052378
710,180710,男,18物流管理,19043114
711,180711,女,18物流管理,19651914
712,180712,女,18物流管理,18543322
713,180713,女,18物流管理,20606218
714,180714,女,18物流管理,20114778
715,180715,女,18物流管理,18438106
716,180716,女,18物流管理,21244458
717,180717,女,18物流管理,19845546
718,180718,女,18物流管理,20528138
719,180719,女,18物流管理,21020874
720,180720,女,18物流管理,20355834
721,180721,女,18物流管理,18921722
722,180722,女,18物流管理,18358730
723,180723,女,18物流管理,20165098
724,180724,女,18物流管理,18541530
725,180725,女,18物流管理,21159210
726,180726,女,18物流管理,21145466
727,180727,女,18物流管理,19609546
728,180728,女,18物流管理,20708554
729,180729,女,18物流管理,21017466
730,180730,女,18物流管理,18624970
731,180731,女,18物流管理,20426218
732,180732,女,18物流管理,19514234
733,180733,女,18物流管理,21108042
734,180734,女,18物流管理,21104842
735,180735,女,18物流管理,19836602
736,180736,女,18物流管理,19428314
737,180737,女,18物流管理,20349274
738,180738,女,18物流管理,19209466
739,180739,女,18物流管理,20444042
740,180740,女,18物流管理,21560762
741,180741,女,18物流管理,19262954
742,180742,女,18物流管理,23654506
743,180743,女,18物流管理,20343642
744,180744,女,18物流管理,18764026
745,180745,女,18物流管理,18347914
746,180746,女,18物流管理,21928314
747,180747,女,18物流管理,20758586
748,180748,女,18物流管理,19007626
749,180749,女,18物流管理,25408602
750,180750,男,18连锁经营,20762330
751,180751,男,18连锁经营,19848250
752,180752,男,18连锁经营,19664074
753,180753,男,18连锁经营,21009354
754,180754,男,18连锁经营,20308282
755,180755,男,18连锁经营,20204330
756,180756,男,18连锁经营,19512298
757,180757,男,18连锁经营,21526186
758,180758,男,18连锁经营,20529002
759,180759,男,18连锁经营,21849466
760,180760,男,18连锁经营,21754746
761,180761,男,18连锁经营,18358762
762,180762,男,18连锁经营,220106
763,180763,男,18连锁经营,19354858
764,180764,男,18连锁经营,19611386
765,180765,男,18连锁经营,20264874
766,180766,男,18连锁经营,20809098
767,180767,女,18连锁经营,21322634
768,180768,女,18连锁经营,19523738
769,180769,女,18连锁经营,18553162
770,180770,女,18连锁经营,21241482
771,180771,女,18连锁经营,20018634
772,180772,女,18连锁经营,23959498
773,180773,女,18连锁经营,21863626
774,180774,女,18连锁经营,20303882
775,180775,女,18连锁经营,18404794
776,180776,女,18连锁经营,19227626
777,180777,女,18连锁经营,19322634
778,180778,女,18连锁经营,21902826
779,180779,女,18连锁经营,20525258
780,180780,女,18连锁经营,20626378
781,180781,女,18连锁经营,21524074
782,180782,女,18连锁经营,20116874
783,180783,女,18连锁经营,19358186
784,180784,女,18连锁经营,19934570
785,180785,女,18连锁经营,21524362
786,180786,女,18连锁经营,19847194
787,180787,女,18连锁经营,19354762
788,180788,女,18连锁经营,18354650
789,180789,女,18连锁经营,19622746
790,180790,女,18连锁经营,20015930
791,180791,女,18连锁经营,19130282
792,180792,女,18连锁经营,21934426
793,180793,女,18连锁经营,20527930
794,180794,女,18连锁经营,24536650
795,180795,女,18连锁经营,14118906
796,180796,女,18连锁经营,19344282
797,180797,女,18连锁经营,20705402
798,180798,女,18连锁经营,20104922
799,180799,女,18连锁经营,21460202
800,180800,女,18连锁经营,21946970
801,180801,女,18连锁经营,19049098
802,180802,女,18连锁经营,19715754
803,180803,女,18连锁经营,19052634
804,180804,女,18连锁经营,19750698
805,180805,女,18连锁经营,19353418
806,180806,女,18连锁经营,21237754
807,180807,女,18连锁经营,22009818
808,180808,女,18连锁经营,21110138
809,180809,女,18连锁经营,19608714
810,180810,女,18连锁经营,19216330
811,180811,女,18连锁经营,20613626
812,180812,女,18连锁经营,19700234
813,180813,女,18连锁经营,19936586
814,180814,女,18连锁经营,20531178
815,180815,女,18连锁经营,21707514
816,180816,女,18连锁经营,21414218
817,180817,女,18连锁经营,21641098
818,180818,女,18连锁经营,20021498
819,180819,女,18连锁经营,21012506
820,180820,女,18连锁经营,19755610
821,180821,女,18连锁经营,18141786
822,180822,女,18连锁经营,20753738
823,180823,女,18连锁经营,20343882
824,180824,女,18连锁经营,18418394
825,180825,女,18连锁经营,21646298
826,180826,女,18连锁经营,21911002
827,180827,女,18连锁经营,18426266
828,180828,女,18连锁经营,21527034
829,180829,女,18连锁经营,21642570
830,180830,女,18连锁经营,18451850
831,180831,女,18连锁经营,22639082
832,180832,女,18连锁经营,21206266
833,180833,女,18连锁经营,19442490
834,180834,女,18连锁经营,21103898
835,180835,女,18连锁经营,21654186
836,180836,女,18连锁经营,21438874
837,180837,女,18连锁经营,18952874
